Material,Quantity,Cost,Date,Transaction Type,Price per LB,Invoice #
2PC CHUCK,9951.3,40501.791,9/26/24,purchase,4.07,86380
OUTSIDE SKIRT,511.4,4165.65984,9/26/24,purchase,8.1456,86380
RIBEYE,3336.8,31117.66208,9/26/24,purchase,9.3256,86380
SHORT RIB,2111.2,14096.69352,9/26/24,purchase,6.6771,86380
BRISKET,8393,31478.7858,9/26/24,purchase,3.7506,86380
OUTSIDE SKIRT,733.7,6456.56,11/25/24,purchase,8.8,86945
OUTSIDE SKIRT,1988.9,17502.32,11/25/24,purchase,8.8,86945
OUTSIDE SKIRT,548.1,4823.28,12/2/24,purchase,8.8,86999
OUTSIDE SKIRT,1796.4,15808.32,12/2/24,purchase,8.8,86999
RIBEYE,2609.9,26668.74117,12/9/24,purchase,10.2183,87056
BRISKET,8568.1,32952.9126,12/9/24,purchase,3.846,87056
2PC CHUCK,9834.1,36267.17739,12/9/24,purchase,3.6879,87056
OUTSIDE SKIRT,1986.7,17482.96,12/27/24,purchase,8.8,87252
OUTSIDE SKIRT,743.5,6542.8,12/9/24,purchase,8.8,87058
BRISKET,10140.9,39710.75031,2/17/25,purchase,3.9159,87765
OUTSIDE SKIRT,2531.6,22278.08,12/9/24,purchase,8.8,87058
OUTSIDE SKIRT,3677.6,32362.88,12/13/24,purchase,8.8,87145
OUTSIDE SKIRT,3392.6,29854.88,12/20/24,purchase,8.8,87212
RIBEYE,6219.3,61237.71552,1/7/25,purchase,9.8464,87327
RIBEYE,995.7,16030.77,1/7/25,purchase,16.1,Byproduct
TRIM,8656,33239.04,1/15/25,purchase,3.84,Byproduct
2PC CHUCK,8520.3,32334.5385,1/20/2025,purchase,3.795,87485
BRISKET,3610.4,15485.72768,1/20/2025,purchase,4.2892,87485
TRIM,1304.46,5009.1264,2/3/25,purchase,3.84,Byproduct
SHORT RIB,1243.43,4718.81685,2/3/25,purchase,3.795,Byproduct